,id,name,genres,popularity,followers
1100,0924Wzhpfy1iRdRqAGFJ36,Space (GR),[],7,3
1101,3Bd1cgCjtCI32PYvDC3ynO,London Grammar,"['indie r&b', 'indietronica', 'metropopolis', 'pop', 'tropical house']",75,688732
1102,4VNQWV2y1E97Eqo2D5UTjx,Gorgon City,"['deep groove house', 'disco house', 'edm', 'future garage', 'house', 'pop', 'tropical house']",71,179412
1103,7HHbmXQn47Btk7qRwuGclG,Jonny Pri$E,[],29,24
1104,1fkkK8K6H73uxjri2ycMD9,RO-MiNA,[],33,21
1105,5sl7j6nuDv4dHPdt4FK9pp,The Loft Club,[],25,1213
1106,1TMMyiSsNzmRiZCAkVLVb2,Lisa Loeb,"['folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'pop christmas', 'pop rock']",49,37782
1107,6LGTJS9Ct8SmOznEuTr0NE,Komfortrauschen,[],23,300
1108,4GNUAjOnCWs0kuq2ikLBVK,Smilla,[],26,238
1109,7eW7XlHPEaGBY5JION7Vw9,The Cool Quest,[],38,4088
1110,0vAfBmdtRZEAYgsoH66VhU,Ryan Vail,['northern irish indie'],31,1469
1111,7vcrUe6LEVRVebEYHgFXxS,Confute,[],10,96
1112,3lvcOqH6QYNsyXBfHDlMg3,Urias,[],28,65
1113,5YC29npFQgIa8qJjpi6nSU,WONDR,[],24,143
1114,7GSnGLal6xBBecChmC4W9H,CRÈME,[],32,795
1115,2sdQEitmjfbyoATb6OfkEi,KV,[],24,14
1116,0IVPwrImVEE7gG7WNL7wGQ,The Brahms,[],41,3361
1117,0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale,"['anti-folk', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'neo mellow', 'pop rock', 'stomp and holler']",63,312753
1118,6VxCmtR7S3yz4vnzsJqhSV,Sheppard,"['australian pop', 'modern rock', 'pop']",65,157121
1119,5nCi3BB41mBaMH9gfr6Su0,fun.,"['indie christmas', 'indie pop', 'metropopolis', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock']",73,2811327
1120,3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,"['emo', 'modern rock', 'neo mellow', 'pop', 'pop punk', 'pop rap', 'pop rock', 'post-grunge']",74,746660
1121,74XFHRwlV6OrjEM0A2NCMF,Paramore,"['candy pop', 'emo', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk']",83,2406243
1122,41Q0HrwWBtuUkJc7C1Rp6K,311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",69,287985
1123,4AapPt7H6bGH4i7chTulpI,Ben Rector,"['acoustic pop', 'folk-pop', 'indiecoustica', 'neo mellow', 'piano rock', 'pop', 'pop rock']",65,136523
1124,0vEsuISMWAKNctLlUAhSZC,Counting Crows,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'post-grunge', 'rock', 'singer-songwriter']",73,465879
1125,7DruTvBV7owt1aSAZHsU58,Viola Beach,"['alt-indie rock', 'indie anthem-folk', 'indie rock']",57,46161
1126,3yllucl3269fkBdlam9Xot,Swirl 360,['grunge pop'],22,450
1127,6JVRYNneRsYNInT4TNr5vU,Matt Wertz,"['acoustic pop', 'folk christmas', 'indiecoustica', 'neo mellow', 'pop christmas', 'pop rock', 'viral pop']",53,40855
1128,4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,"['acoustic pop', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop', 'pop rock', 'viral pop']",63,168852
